start	end	text	sentence_id
142.7245279296875	142.7645279296875	the	34
142.8045279296875	143.2745279296875	floor	34
143.5745279296875	143.67452792968749	and	34
143.7345279296875	143.9645279296875	hopped	34
143.9845279296875	144.1345279296875	onto	34
144.2145279296875	144.2945279296875	his	34
144.3545279296875	144.67452792968749	back	34
145.0526279296875	145.1726279296875	So	35
145.2126279296875	145.29262792968748	I	35
145.3126279296875	145.3926279296875	had	35
145.4726279296875	145.8026279296875	monkeys	35
145.8626279296875	145.9426279296875	on	35
146.0026279296875	146.1426279296875	my	35
146.2226279296875	146.4426279296875	back	35
146.5226279296875	146.6926279296875	whilst	35
146.7126279296875	146.8026279296875	I	35
146.7126279296875	146.8026279296875	'm	35
146.8426279296875	147.0626279296875	trying	35
147.0826279296875	147.1326279296875	to	35
147.1726279296875	147.4026279296875	keep	35
147.4026279296875	147.5026279296875	my	35
147.5226279296875	148.0026279296875	camera	35
148.0026279296875	148.1926279296875	from	35
148.1926279296875	148.4426279296875	being	35
148.4626279296875	148.9026279296875	knocked	35
148.9426279296875	149.1226279296875	while	35
149.1426279296875	149.3026279296875	some	35
149.3026279296875	149.7426279296875	monkeys	35
149.7826279296875	150.1426279296875	trying	35
150.1826279296875	150.3026279296875	or	35
150.4026279296875	150.5226279296875	two	35
150.54262792968748	150.5826279296875	or	35
150.6226279296875	150.8026279296875	three	35
150.82262792968748	151.0926279296875	monkeys	35
151.1326279296875	151.1726279296875	are	35
151.2126279296875	151.4326279296875	trying	35
151.4526279296875	151.5026279296875	to	35
151.54262792968748	151.6726279296875	play	35
151.7326279296875	151.8026279296875	with	35
151.7826279296875	151.8426279296875	the	35
151.8626279296875	152.2026279296875	button	35
152.36622792968748	152.67622792968749	Uhuh	35
152.7450279296875	152.8350279296875	And	36
152.8750279296875	152.98502792968748	all	36
152.98502792968748	153.0550279296875	of	36
153.0550279296875	153.0850279296875	a	36
153.10502792968748	153.5050279296875	sudden	36
153.76502792968748	153.8450279296875	I	36
153.9250279296875	154.0550279296875	heard	36
154.0550279296875	154.1150279296875	the	36
154.13502792968748	154.38502792968748	camera	36
154.4050279296875	154.5950279296875	going	36
154.63502792968748	154.8750279296875	off	36
160.0285279296875	160.1285279296875	So	37
160.1485279296875	160.2285279296875	I	37
160.2785279296875	160.41852792968749	let	37
160.4385279296875	160.6185279296875	them	37
160.6185279296875	160.8185279296875	click	37
160.85852792968748	160.9285279296875	it	37
160.9785279296875	161.1585279296875	click	37
161.1785279296875	161.2885279296875	it	37
161.3085279296875	161.4985279296875	click	37
161.5585279296875	161.6785279296875	it	37
161.6785279296875	161.7485279296875	And	38
161.8085279296875	161.9085279296875	I	38
162.1285279296875	162.4285279296875	sort	38
162.4685279296875	162.5585279296875	of	38
162.5985279296875	162.9285279296875	very	38
162.9885279296875	163.3785279296875	carefully	38
163.4585279296875	163.6485279296875	looked	38
163.7085279296875	163.91852792968749	up	38
164.2585279296875	164.3185279296875	to	38
164.41852792968749	164.7285279296875	see	38
164.76852792968748	164.9685279296875	them	38
165.01852792968748	165.2485279296875	pulling	38
165.2885279296875	165.4985279296875	these	38
165.51852792968748	166.2785279296875	amazing	38
166.2785279296875	166.9485279296875	contorted	38
167.51852792968748	168.1185279296875	faces	38
168.13852792968748	168.4085279296875	like	38
168.4885279296875	169.0885279296875	howling	38
169.16852792968749	169.66852792968749	mouths	38
169.7485279296875	169.96852792968753	and	38
170.6685279296875	170.75852792968752	the	38
170.8985279296875	170.94852792968751	the	38
170.9885279296875	171.81852792968752	smiling	38
171.87852792968752	172.2385279296875	mouth	38
172.2785279296875	172.3685279296875	and	38
172.3885279296875	172.56852792968752	more	38
172.5885279296875	173.37852792968752	besides	38
174.1064279296875	174.1664279296875	The	39
174.2064279296875	174.7964279296875	monkeys	39
174.8764279296875	175.0564279296875	were	39
175.0564279296875	175.3964279296875	taking	39
175.4564279296875	176.0964279296875	selfies	39
176.6064279296875	177.3264279296875	amazing	39
177.5664279296875	178.1464279296875	beautiful	39
178.24642792968748	178.5764279296875	weird	39
178.6164279296875	179.21642792968748	selfies	39
179.7846279296875	179.83462792968749	I	40
179.9346279296875	180.0346279296875	I	40
180.05462792968748	180.1546279296875	just	40
180.2146279296875	180.4346279296875	wanted	40
180.4746279296875	180.55462792968748	it	40
180.5746279296875	180.6546279296875	to	40
180.6746279296875	180.7446279296875	go	40
180.7846279296875	180.9046279296875	on	40
180.9046279296875	181.2946279296875	forever	40
181.33462792968749	181.7646279296875	really	40
186.15132792968748	186.2713279296875	When	41
186.2713279296875	186.5013279296875	David	41
186.5413279296875	186.8513279296875	finally	41
186.8713279296875	187.0513279296875	stood	41
187.1113279296875	187.2613279296875	up	41
187.2613279296875	187.3413279296875	and	41
187.3613279296875	187.5813279296875	checked	41
187.5813279296875	187.7013279296875	their	41
187.7813279296875	188.1613279296875	work	41
188.4813279296875	188.5413279296875	he	41
188.5813279296875	188.7313279296875	saw	41
188.7713279296875	188.90132792968748	that	41
188.9213279296875	188.9713279296875	the	41
189.0313279296875	189.3013279296875	shots	41
189.3613279296875	189.5613279296875	were	41
189.3613279296875	189.5613279296875	n't	41
189.5613279296875	189.7213279296875	just	41
189.7613279296875	190.0713279296875	regular	41
190.1713279296875	190.3713279296875	old	41
190.43132792968748	190.7613279296875	everyday	41
190.8213279296875	191.43132792968748	selfies	41
192.0113279296875	192.0913279296875	They	42
192.15132792968748	192.43132792968748	were	42
192.15132792968748	192.43132792968748	n't	42
192.43132792968748	192.5813279296875	that	42
192.6213279296875	192.7913279296875	guy	42
192.7913279296875	192.8913279296875	at	42
192.8913279296875	192.96132792968749	the	42
193.0213279296875	193.3013279296875	gym	42
193.3213279296875	193.5713279296875	taking	42
193.5913279296875	193.8713279296875	pictures	42
193.9113279296875	193.9913279296875	of	42
194.0113279296875	194.1113279296875	his	42
194.1313279296875	194.4413279296875	muscles	42
194.4813279296875	194.5513279296875	in	42
194.5513279296875	194.6213279296875	the	42
194.6413279296875	195.2313279296875	mirror	42
195.8213279296875	195.93132792968748	These	43
195.9913279296875	196.0413279296875	were	43
196.1213279296875	196.3213279296875	next	43
196.40132792968748	196.7613279296875	level	43
197.1313279296875	198.0313279296875	transcendentally	43
198.0713279296875	198.3413279296875	good	43
198.9813279296875	199.1313279296875	They	44
199.1713279296875	199.46132792968749	somehow	44
199.5213279296875	199.8613279296875	escape	44
199.8913279296875	199.96132792968749	the	44
200.0013279296875	200.2913279296875	bounds	44
200.3113279296875	200.3913279296875	of	44
200.3913279296875	200.9813279296875	selfie	44
201.0513279296875	201.18132792968748	and	44
201.2213279296875	201.4913279296875	enter	44
201.5113279296875	201.5713279296875	the	44
201.6113279296875	201.8613279296875	realm	44
201.8813279296875	201.9713279296875	of	44
202.0113279296875	202.2413279296875	art	44
203.7313279296875	203.8313279296875	There	45
203.8313279296875	203.93132792968748	was	45
204.0113279296875	204.1613279296875	one	45
204.2013279296875	204.43132792968748	shot	45
204.4513279296875	204.5113279296875	in	45
